commit,date,file_type,path,stem,package,added_lines,deleted_lines,commit_index,commit_size,msg,month
6627f7ad8fb08d6c23b83d6c9f0a6830e9e7085a,2002-07-19 03:35:56,prod,src/java/org/apache/commons/lang/CharRange.java,CharRange,org/apache/commons/lang,205,0,0,37,"Initial copy from jakarta-commons-sandbox


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@136932 13f79535-47bb-0310-9956-ffa450edef68",2002-07
6627f7ad8fb08d6c23b83d6c9f0a6830e9e7085a,2002-07-19 03:35:56,prod,src/java/org/apache/commons/lang/CharSet.java,CharSet,org/apache/commons/lang,152,0,0,37,"Initial copy from jakarta-commons-sandbox


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@136932 13f79535-47bb-0310-9956-ffa450edef68",2002-07
6627f7ad8fb08d6c23b83d6c9f0a6830e9e7085a,2002-07-19 03:35:56,prod,src/java/org/apache/commons/lang/CharSetUtils.java,CharSetUtils,org/apache/commons/lang,229,0,0,37,"Initial copy from jakarta-commons-sandbox


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@136932 13f79535-47bb-0310-9956-ffa450edef68",2002-07
6627f7ad8fb08d6c23b83d6c9f0a6830e9e7085a,2002-07-19 03:35:56,prod,src/java/org/apache/commons/lang/NumberRange.java,NumberRange,org/apache/commons/lang,241,0,0,37,"Initial copy from jakarta-commons-sandbox


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@136932 13f79535-47bb-0310-9956-ffa450edef68",2002-07
6627f7ad8fb08d6c23b83d6c9f0a6830e9e7085a,2002-07-19 03:35:56,prod,src/java/org/apache/commons/lang/NumberUtils.java,NumberUtils,org/apache/commons/lang,536,0,0,37,"Initial copy from jakarta-commons-sandbox


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@136932 13f79535-47bb-0310-9956-ffa450edef68",2002-07
6627f7ad8fb08d6c23b83d6c9f0a6830e9e7085a,2002-07-19 03:35:56,prod,src/java/org/apache/commons/lang/ObjectUtils.java,ObjectUtils,org/apache/commons/lang,104,0,0,37,"Initial copy from jakarta-commons-sandbox


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@136932 13f79535-47bb-0310-9956-ffa450edef68",2002-07
6627f7ad8fb08d6c23b83d6c9f0a6830e9e7085a,2002-07-19 03:35:56,prod,src/java/org/apache/commons/lang/RandomStringUtils.java,RandomStringUtils,org/apache/commons/lang,253,0,0,37,"Initial copy from jakarta-commons-sandbox


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@136932 13f79535-47bb-0310-9956-ffa450edef68",2002-07
6627f7ad8fb08d6c23b83d6c9f0a6830e9e7085a,2002-07-19 03:35:56,prod,src/java/org/apache/commons/lang/SerializationException.java,SerializationException,org/apache/commons/lang,109,0,0,37,"Initial copy from jakarta-commons-sandbox


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@136932 13f79535-47bb-0310-9956-ffa450edef68",2002-07
6627f7ad8fb08d6c23b83d6c9f0a6830e9e7085a,2002-07-19 03:35:56,prod,src/java/org/apache/commons/lang/SerializationUtils.java,SerializationUtils,org/apache/commons/lang,194,0,0,37,"Initial copy from jakarta-commons-sandbox


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@136932 13f79535-47bb-0310-9956-ffa450edef68",2002-07
6627f7ad8fb08d6c23b83d6c9f0a6830e9e7085a,2002-07-19 03:35:56,prod,src/java/org/apache/commons/lang/StringUtils.java,StringUtils,org/apache/commons/lang,1609,0,0,37,"Initial copy from jakarta-commons-sandbox


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@136932 13f79535-47bb-0310-9956-ffa450edef68",2002-07
6627f7ad8fb08d6c23b83d6c9f0a6830e9e7085a,2002-07-19 03:35:56,prod,src/java/org/apache/commons/lang/exception/Nestable.java,Nestable,org/apache/commons/lang/exception,190,0,0,37,"Initial copy from jakarta-commons-sandbox


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@136932 13f79535-47bb-0310-9956-ffa450edef68",2002-07
6627f7ad8fb08d6c23b83d6c9f0a6830e9e7085a,2002-07-19 03:35:56,prod,src/java/org/apache/commons/lang/exception/NestableDelegate.java,NestableDelegate,org/apache/commons/lang/exception,346,0,0,37,"Initial copy from jakarta-commons-sandbox


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@136932 13f79535-47bb-0310-9956-ffa450edef68",2002-07
6627f7ad8fb08d6c23b83d6c9f0a6830e9e7085a,2002-07-19 03:35:56,prod,src/java/org/apache/commons/lang/exception/NestableException.java,NestableException,org/apache/commons/lang/exception,341,0,0,37,"Initial copy from jakarta-commons-sandbox


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@136932 13f79535-47bb-0310-9956-ffa450edef68",2002-07
6627f7ad8fb08d6c23b83d6c9f0a6830e9e7085a,2002-07-19 03:35:56,prod,src/java/org/apache/commons/lang/exception/NestableRuntimeException.java,NestableRuntimeException,org/apache/commons/lang/exception,288,0,0,37,"Initial copy from jakarta-commons-sandbox


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@136932 13f79535-47bb-0310-9956-ffa450edef68",2002-07
6627f7ad8fb08d6c23b83d6c9f0a6830e9e7085a,2002-07-19 03:35:56,test,src/test/org/apache/commons/lang/CharSetUtilsTest.java,CharSetUtilsTest,org/apache/commons/lang,140,0,0,37,"Initial copy from jakarta-commons-sandbox


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@136932 13f79535-47bb-0310-9956-ffa450edef68",2002-07
6627f7ad8fb08d6c23b83d6c9f0a6830e9e7085a,2002-07-19 03:35:56,test,src/test/org/apache/commons/lang/NumberRangeTest.java,NumberRangeTest,org/apache/commons/lang,187,0,0,37,"Initial copy from jakarta-commons-sandbox


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@136932 13f79535-47bb-0310-9956-ffa450edef68",2002-07
6627f7ad8fb08d6c23b83d6c9f0a6830e9e7085a,2002-07-19 03:35:56,test,src/test/org/apache/commons/lang/NumberUtilsTest.java,NumberUtilsTest,org/apache/commons/lang,308,0,0,37,"Initial copy from jakarta-commons-sandbox


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@136932 13f79535-47bb-0310-9956-ffa450edef68",2002-07
6627f7ad8fb08d6c23b83d6c9f0a6830e9e7085a,2002-07-19 03:35:56,test,src/test/org/apache/commons/lang/ObjectUtilsTest.java,ObjectUtilsTest,org/apache/commons/lang,126,0,0,37,"Initial copy from jakarta-commons-sandbox


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@136932 13f79535-47bb-0310-9956-ffa450edef68",2002-07
6627f7ad8fb08d6c23b83d6c9f0a6830e9e7085a,2002-07-19 03:35:56,test,src/test/org/apache/commons/lang/RandomStringUtilsTest.java,RandomStringUtilsTest,org/apache/commons/lang,157,0,0,37,"Initial copy from jakarta-commons-sandbox


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@136932 13f79535-47bb-0310-9956-ffa450edef68",2002-07
